랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
21,충북,제천시,0.8344827586206897,83.45,3372600.0,3372600.0,0.08275862068965517,0.5,0.27586206896551724,0.596551724137931,0.2827586206896552,31.55,0.6689655172413793,0.8206896551724138,72.97,0.3793103448275862,0.4206896551724138,38.76,84.71,62.098
22,대구,동구,0.9448275862068966,94.48,6209400.0,6209400.0,0.36551724137931035,0.7586206896551724,0.9517241379310345,0.596551724137931,0.3413793103448276,60.98,0.6,0.2689655172413793,46.76,0.13793103448275862,0.6137931034482759,23.31,45.86,61.572
23,대구,달성군,0.9517241379310345,95.17,6508400.0,6508400.0,0.14482758620689656,0.7275862068965517,0.6275862068965518,0.596551724137931,0.15862068965517243,44.88,0.6,0.2689655172413793,46.76,0.36551724137931035,0.4068965517241379,37.38,47.13,61.47
24,경남,고성군,0.6,60.0,1383250.0,1383250.0,0.593103448275862,0.696551724137931,0.2413793103448276,0.14482758620689656,0.5586206896551724,49.17,0.7379310344827587,0.9448275862068966,82.07,0.6827586206896552,0.4896551724137931,64.41,21.02,61.182
25,경북,영천시,0.8896551724137931,88.97,4818975.0,4818975.0,0.6068965517241379,0.5,0.8862068965517241,0.596551724137931,0.20689655172413793,58.57,0.0896551724137931,0.6,29.38,0.593103448275862,0.1103448275862069,49.66,46.5,60.984
26,경북,상주시,0.5586206896551724,55.86,1011350.0,1011350.0,0.10344827586206896,0.3413793103448276,0.06206896551724138,0.596551724137931,0.1724137931034483,22.45,0.9586206896551724,0.8413793103448276,91.17,0.8827586206896552,0.13793103448275862,73.38,72.61,60.582
27,경북,경산시,0.8758620689655172,87.59,4080375.0,4080375.0,0.3724137931034483,0.4517241379310345,0.8551724137931035,0.596551724137931,0.3103448275862069,50.9,0.5793103448275863,0.23793103448275862,44.28,0.4689655172413793,0.2413793103448276,42.34,42.68,60.294
28,대구,북구,0.9241379310344827,92.41,5476675.0,5476675.0,0.3448275862068966,0.7586206896551724,0.8344827586206897,0.596551724137931,0.09310344827586207,55.03,0.6,0.2689655172413793,46.76,0.14482758620689656,0.6689655172413793,24.97,49.04,60.149
29,강원,영월군,0.7793103448275862,77.93,2781300.0,2781300.0,0.696551724137931,0.4103448275862069,0.21379310344827587,0.596551724137931,0.1310344827586207,44.57,0.013793103448275862,0.9586206896551724,39.17,0.7103448275862069,0.31724137931034485,63.17,68.15,60.067
30,경북,경주시,0.7862068965517242,78.62,2819600.0,2819600.0,0.027586206896551724,0.5655172413793104,0.8,0.04827586206896552,0.38620689655172413,36.74,0.3931034482758621,0.5310344827586206,44.83,0.7379310344827587,0.7172413793103448,73.38,26.75,59.845
31,경북,구미시,0.8206896551724138,82.07,3081400.0,3081400.0,0.041379310344827586,0.603448275862069,0.2413793103448276,0.596551724137931,0.45517241379310347,34.38,0.5689655172413793,0.3586206896551724,48.48,0.6896551724137931,0.06206896551724138,56.41,63.69,59.764
32,충북,단양군,0.7724137931034483,77.24,2671800.0,2671800.0,0.7793103448275862,0.1103448275862069,0.15517241379310345,0.596551724137931,0.4896551724137931,42.39,0.5586206896551724,0.8827586206896552,68.83,0.296551724137931,0.3931034482758621,31.59,78.34,59.512
33,전북,장수군,0.7172413793103448,71.72,2134575.0,2134575.0,0.35172413793103446,0.2620689655172414,0.3482758620689655,0.596551724137931,0.6620689655172414,39.43,0.4,0.8758620689655172,59.03,0.6482758620689655,0.4413793103448276,60.69,50.32,59.451
34,전북,완주군,0.696551724137931,69.66,1914750.0,1914750.0,0.15172413793103448,0.2413793103448276,0.41379310344827586,0.596551724137931,0.43448275862068964,31.48,0.6482758620689655,0.4689655172413793,57.66,0.7448275862068966,0.5448275862068965,70.48,62.42,59.423
35,강원,정선군,0.8137931034482758,81.38,2923650.0,2923650.0,0.8137931034482758,0.1310344827586207,0.5724137931034483,0.596551724137931,0.2620689655172414,49.57,0.10344827586206896,0.9793103448275862,45.38,0.4206896551724138,0.2827586206896552,39.31,75.16,59.093
36,대전,대덕구,0.6172413793103448,61.72,1472000.0,1472000.0,0.45517241379310347,0.9379310344827586,0.7689655172413793,0.596551724137931,0.9241379310344827,71.67,0.7137931034482758,0.5620689655172414,65.31,0.2206896551724138,0.4827586206896552,27.31,80.25,58.474
37,충남,청양군,0.6172413793103448,61.72,1472000.0,1472000.0,0.41379310344827586,0.2793103448275862,0.30689655172413793,0.596551724137931,0.4413793103448276,38.27,0.9862068965517241,0.8068965517241379,91.45,0.2620689655172414,0.5793103448275863,32.55,80.89,58.102
38,세종,연서면,0.5,50.0,853812.5,853812.5,0.6,0.9379310344827586,0.9517241379310345,0.596551724137931,0.9620689655172414,80.12,0.7551724137931034,0.6241379310344828,70.28,0.16896551724137931,0.8413793103448276,30.34,87.26,58.012
39,광주,북구,0.8413793103448276,84.14,3535575.0,3535575.0,0.6206896551724138,0.8241379310344827,0.7310344827586207,0.596551724137931,0.09310344827586207,62.94,0.2482758620689655,0.42758620689655175,32.0,0.23448275862068965,0.8827586206896552,36.41,39.49,57.695
