시도,시군구,신재생발전량_GWh,신재생발전량_MWh,PPA가능용량_kW,신재생접근성_유효,시군구자급률
충북,진천군,163.668,163668.0,87850.159,23.923941221893696,0.0530880444334359
광주,북구,75.583,75583.0,36181.74,47.65694221860173,0.0305758182115531
경북,안동시,515.497,515497.0,230189.15,7.79257608982555,0.4148356875689334
전남,순천시,480.685,480685.0,194701.125,17.85329382714807,0.207753679634104
경남,남해군,106.977,106977.0,55096.25,16.904597337671454,0.3765103334184359
부산,금정구,19.534,19534.0,1936.385,46.65081661251923,0.0176518220801012
경남,함양군,100.161,100161.0,72733.255,8.46505089582197,0.337999488470418
세종,고운동,42.889,0.0,,41.46823126381498,0.0413221087257485
광주,서구,144.515,144515.0,12939.25,24.9770852467083,0.0862085598617373
충남,아산시,267.509,267509.0,152320.724,24.3996435352852,0.0202907805405718
경북,포항시남구,121.5135,0.0,,15.422468132207287,0.0232061785609789
충남,천안시,266.697,266697.0,,20.293839738248888,0.029500650654069
대전,중구,11.853,11853.0,2912.37,10.467387719104336,0.0119033391378907
울산,동구,6.988,6988.0,962.53,170.22410029737577,0.0043070683158836
대전,서구,22.053,22053.0,6095.325,10.776241109421958,0.0108525107408595
부산,남구,15.993,15993.0,1736.4,42.35073571697448,0.0104547980374336
충북,증평군,42.955,42955.0,28908.81,27.81426853699015,0.0787566005085492
부산,부산진구,6.687,6687.0,641.46,46.07715347523351,0.0036695992794019
대전,동구,16.655,16655.0,7316.665,12.179981749762028,0.0170977652155268
부산,해운대구,240.126,240126.0,1517.575,35.96105756007135,0.1261393052248266
부산,사상구,10.045,10045.0,3290.72,43.2794571880178,0.0065272280889483
부산,강서구,313.979,313979.0,78240.12,13.392559346128856,0.0700490730926779
충북,옥천군,184.079,184079.0,140520.264,13.960379874658422,0.2761890291495232
충북,제천시,143.35,143350.0,77448.15,11.615012631909336,0.087799917405359
부산,동래구,7.777,7777.0,1114.91,37.76126856066899,0.0073175492037484
전남,고흥군,637.149,637149.0,200625.79,5.175855717474172,1.102654565034445
충북,음성군,389.028,389028.0,151672.716,16.33152640075157,0.115617513599899
경북,봉화군,218.944,218944.0,138134.98,8.167567772820977,0.1493130579789061
충북,단양군,113.783,113783.0,53447.475,11.149537327170838,0.0674581878490536
경남,의령군,141.268,141268.0,60291.871,9.662552474522592,0.3613870044897554
전북,완주군,356.257,356257.0,247974.015,14.678561852004004,0.1915339160739526
강원,삼척시,338.685,338685.0,70607.245,40.00982012436225,0.224746160911906
