시도,시군구,연평균기온_C,평균풍속_ms,연간_15도이하_일수,취수여유량_m3년,취수여유율_%,N_기온,N_풍속,N_냉각일수,N_취수여유율,냉각_종합
전북,장수군,12.953488372093023,1.449514563106796,197.5,6607884.0,34.8,0.5525723245539542,0.15138119509437675,0.6787878787878788,0.4729183508488278,0.5058347329727308
대전,중구,13.635841313269491,1.4444444444444444,185.9,264983593.0,53.8,0.4403088342090865,0.15000338695740528,0.5381818181818182,0.6265157639450283,0.5053356581728415
대전,대덕구,13.517606602475928,1.11557719054242,185.9,264983593.0,53.8,0.4597612913066059,0.06063349079022069,0.5381818181818182,0.6265157639450283,0.5022344056853788
충북,보은군,11.922527472527474,1.608653846153846,205.0,410220.0,9.9,0.7221902187697589,0.19462740168164655,0.7696969696969697,0.2716248989490703,0.4987091593181143
전남,화순군,13.924982746721875,1.4497407262630868,187.625,1620890.0,54.8,0.39273810568446477,0.15144265508333804,0.5590909090909091,0.6345998383185125,0.49862381435926006
경북,울진군,13.78024116196218,2.1841961449355543,190.9,6041895.0,41.9,0.41655158185290486,0.35103140625082085,0.5987878787878789,0.5303152789005658,0.49195230249875566
충북,음성군,12.86835616438356,1.9014238672286616,193.75,37069094.0,28.0,0.5665786227634273,0.27418785068918355,0.6333333333333333,0.41794664510913504,0.4912376966082673
전북,익산시,14.180756806645132,1.2654420201307175,184.33333333333337,27382340.0,60.0,0.35065711361435636,0.10135935844808455,0.5191919191919196,0.6766370250606306,0.48982626379175154
세종,고운동,14.2707182320442,1.6114990176669668,187.2,11379851.42857143,55.885714285714286,0.335856292804108,0.19540057894295332,0.5539393939393938,0.6433768333525811,0.48843555786443893
전북,군산시,14.79270148737461,3.656076788538727,185.5,33777630.0,47.8,0.24997747759165445,0.7510159554224242,0.5333333333333333,0.5780113177041228,0.4879660325680546
충남,논산시,13.874023154848048,1.6729974814271067,178.0,20748794.0,55.9,0.4011221856892232,0.21211282759487432,0.44242424242424244,0.6434923201293451,0.4874297150028409
충북,영동군,13.251823812801105,1.5886212624584717,193.5,3529678.0,32.6,0.5034889604378436,0.18918353366628798,0.6303030303030303,0.45513338722716246,0.47807900244945295
대전,서구,14.521477428180576,2.032147742818057,185.9,264983593.0,53.8,0.2946003665882605,0.30971215129795365,0.5381818181818182,0.6265157639450283,0.47759399432064853
전북,김제시,14.616559926806952,2.9315498597516627,185.66666666666663,33777630.0,47.8,0.2789570059132056,0.5541252780206553,0.5353535353535349,0.5780113177041228,0.47737486372838334
광주,동구,12.897042640990373,2.309952746839795,183.3,39968032.0,27.2,0.5618590065718054,0.385205846913947,0.5066666666666668,0.4114793856103476,0.4730033742404088
충북,옥천군,13.402142363510713,1.174477050940841,188.25,4243881.0,39.0,0.4787579390735225,0.07663956724086286,0.5666666666666667,0.5068714632174616,0.467373257066461
경남,함양군,13.704115226337448,1.62702014245955,188.5,2552813.0,39.5,0.42907613142730316,0.1996184549845866,0.5696969696969697,0.5109135004042037,0.46698947902772503
충북,충주시,12.430927364093192,1.472325268276662,196.66666666666663,3041692.0,15.2,0.6385461939932036,0.1575800194782071,0.6686868686868682,0.31447049312853675,0.46684743113457017
강원,원주시,12.063699651914469,1.4788517202997469,184.41666666666663,5941838.0,17.8,0.6989639957388285,0.1593535871798335,0.5202020202020198,0.3354890864995958,0.4638605960798742
대구,군위군,13.395327530920753,1.4005748816814798,176.4,178879450.0,44.7,0.47987914314035895,0.13808180394022243,0.4230303030303031,0.5529506871463218,0.4635582588007193
경북,포항시북구,14.04762773722628,2.3243698105360213,188.33333333333337,132899027.0,37.9,0.3725600513719871,0.38912369361434024,0.5676767676767681,0.4979789814066289,0.46340733087103536
전북,정읍시,14.248765432098766,1.7551273015259512,185.5,15594967.0,47.5,0.33946805703343463,0.23443166112838867,0.5333333333333333,0.5755860953920776,0.462184688046367
충남,당진시,13.756602475928473,1.853668757960281,187.5,327473.0,37.4,0.4204407149410324,0.2612103678108207,0.5575757575757576,0.49393694421988676,0.461343180466498
전북,순창군,13.234201507882112,1.5886550385163454,195.75,688854.0,24.8,0.5063882539540652,0.18919271233260182,0.6575757575757576,0.3920776071139854,0.4591819417802255
부산,영도구,15.119724137931032,3.113793103448276,169.8,638966794.0,60.1,0.19617437664803372,0.6036500013644682,0.3430303030303032,0.677445432497979,0.4588015467361092
경북,경주시,13.946797349530646,2.590829715462189,185.5,15445322.0,34.1,0.38914907821199984,0.4615343509644453,0.5333333333333333,0.4672594987873888,0.4564686247416667
전북,완주군,14.16554794520548,1.3523603943582243,184.25,33777630.0,47.8,0.35315933756087137,0.12497948476825316,0.5181818181818182,0.5780113177041228,0.4532866404630995
경남,거창군,12.916438356164385,1.205890410958904,196.0,1916023.0,21.1,0.5586679443637123,0.08517616883243709,0.6606060606060606,0.36216653193209375,0.453105825086407
전북,고창군,14.787568681318682,2.21300033202106,186.25,33777630.0,47.8,0.25082194778930345,0.3588589633531729,0.5424242424242425,0.5780113177041228,0.450821856238606
경남,창녕군,14.933971728226174,1.6618502469562662,173.66666666666666,1504946.0,63.4,0.22673512108841598,0.2090835591730719,0.3898989898989898,0.7041228779304769,0.44855784139582067
경북,영덕군,14.310684931506849,1.7880658436213992,187.0,6134276.0,42.5,0.3292808083172888,0.24338273196940838,0.5515151515151515,0.5351657235246564,0.4474918354050203
경북,칠곡군,13.789563218390803,1.5740003061930077,184.16666666666663,132899027.0,37.9,0.41501787908895893,0.18521027902385787,0.5171717171717167,0.4979789814066289,0.4456523276260684
강원,영월군,11.18628808864266,1.306258692628651,208.5,-1318407.0,-18.6,0.8433193265622153,0.11245131649422385,0.8121212121212121,0.041228779304769585,0.44315668376423717
경남,진주시,14.113520933424846,1.506009948789075,184.75,33576471.0,41.8,0.36171903384449455,0.16673385393299286,0.5242424242424243,0.5295068714632174,0.44184032898041947
강원,양양군,14.22633744855967,2.660356652949245,181.6,3992835.0,35.8,0.3431580004066618,0.48042834272043716,0.48606060606060597,0.481002425222312,0.44060332569508825
